T/1	SERVOIX/3			SERVOSPEED/3			
118	2	0	0	0.00	0.00	1.00	
119	2	0	0	0.00	0.00	1.00	
120	2	0	0	0.00	0.00	1.00	
121	2	0	0	0.00	0.00	1.00	
122	2	0	0	0.25	0.00	0.00	
123	0	0	0	0.25	0.00	0.00	
124	0	0	0	0.25	0.00	0.00	
125	0	0	0	0.25	0.00	0.00	
126	0	0	0	0.25	0.00	0.00	
127	0	0	0	0.25	0.00	0.00	
128	0	0	0	0.25	0.00	0.00	
129	0	0	0	0.25	0.00	0.00	
130	0	0	0	0.25	0.00	0.00	
131	0	0	0	0.25	0.00	0.00	
132	0	0	0	0.50	0.00	0.00	
133	0	0	0	0.50	0.00	0.00	
134	0	0	0	0.50	0.00	0.00	
135	0	0	0	0.50	0.00	0.00	
136	0	0	0	0.50	0.00	0.00	
137	0	0	0	0.50	0.00	0.00	
138	0	0	0	0.50	0.00	0.00	
139	0	0	0	0.50	0.00	0.00	
140	0	0	0	0.50	0.00	0.00	
141	0	0	0	0.50	0.00	0.00	
142	0	0	0	0.75	0.00	0.00	
143	0	0	0	0.75	0.00	0.00	
144	0	0	0	0.75	0.00	0.00	
145	0	0	0	0.75	0.00	0.00	
146	0	0	0	0.75	0.00	0.00	
147	0	0	0	0.75	0.00	0.00	
148	0	0	0	0.75	0.00	0.00	
149	0	0	0	0.75	0.00	0.00	
150	0	0	0	0.75	0.00	0.00	
151	0	0	0	0.75	0.00	0.00	
152	0	0	0	1.00	0.00	0.00	
153	0	0	0	1.00	0.00	0.00	
154	0	0	0	1.00	0.00	0.00	
155	0	0	0	1.00	0.00	0.00	
156	0	0	0	1.00	0.00	0.00	
157	0	0	0	1.00	0.00	0.00	
158	0	0	0	1.00	0.00	0.00	
159	0	0	0	1.00	0.00	0.00	
160	0	0	0	1.00	0.00	0.00	
161	0	0	0	1.00	0.00	0.00	
162	0	0	0	0.00	0.25	0.00	
163	1	0	0	0.00	0.25	0.00	
164	1	0	0	0.00	0.25	0.00	
165	1	0	0	0.00	0.25	0.00	
166	1	0	0	0.00	0.25	0.00	
167	1	0	0	0.00	0.25	0.00	
168	1	0	0	0.00	0.25	0.00	
169	1	0	0	0.00	0.25	0.00	
170	1	0	0	0.00	0.25	0.00	
171	1	0	0	0.00	0.25	0.00	
172	1	0	0	0.00	0.50	0.00	
173	1	0	0	0.00	0.50	0.00	
174	1	0	0	0.00	0.50	0.00	
175	1	0	0	0.00	0.50	0.00	
176	1	0	0	0.00	0.50	0.00	
177	1	0	0	0.00	0.50	0.00	
178	1	0	0	0.00	0.50	0.00	
179	1	0	0	0.00	0.50	0.00	
180	1	0	0	0.00	0.50	0.00	
181	1	0	0	0.00	0.50	0.00	
182	1	0	0	0.00	0.75	0.00	
183	1	0	0	0.00	0.75	0.00	
184	1	0	0	0.00	0.75	0.00	
185	1	0	0	0.00	0.75	0.00	
186	1	0	0	0.00	0.75	0.00	
187	1	0	0	0.00	0.75	0.00	
188	1	0	0	0.00	0.75	0.00	
189	1	0	0	0.00	0.75	0.00	
190	1	0	0	0.00	0.75	0.00	
191	1	0	0	0.00	0.75	0.00	
192	1	0	0	0.00	1.00	0.00	
193	1	0	0	0.00	1.00	0.00	
194	1	0	0	0.00	1.00	0.00	
195	1	0	0	0.00	1.00	0.00	
196	1	0	0	0.00	1.00	0.00	
197	1	0	0	0.00	1.00	0.00	
198	1	0	0	0.00	1.00	0.00	
199	1	0	0	0.00	1.00	0.00	
200	1	0	0	0.00	1.00	0.00	
201	1	0	0	0.00	1.00	0.00	
202	1	0	0	0.00	0.00	0.25	
203	2	0	0	0.00	0.00	0.25	
204	2	0	0	0.00	0.00	0.25	
205	2	0	0	0.00	0.00	0.25	
206	2	0	0	0.00	0.00	0.25	
207	2	0	0	0.00	0.00	0.25	
208	2	0	0	0.00	0.00	0.25	
209	2	0	0	0.00	0.00	0.25	
210	2	0	0	0.00	0.00	0.25	
211	2	0	0	0.00	0.00	0.25	
212	2	0	0	0.00	0.00	0.50	
213	2	0	0	0.00	0.00	0.50	
214	2	0	0	0.00	0.00	0.50	
215	2	0	0	0.00	0.00	0.50	
216	2	0	0	0.00	0.00	0.50	
217	2	0	0	0.00	0.00	0.50	
218	2	0	0	0.00	0.00	0.50	
219	2	0	0	0.00	0.00	0.50	
220	2	0	0	0.00	0.00	0.50	
221	2	0	0	0.00	0.00	0.50	
222	2	0	0	0.00	0.00	0.75	
223	2	0	0	0.00	0.00	0.75	
224	2	0	0	0.00	0.00	0.75	
225	2	0	0	0.00	0.00	0.75	
226	2	0	0	0.00	0.00	0.75	
227	2	0	0	0.00	0.00	0.75	
228	2	0	0	0.00	0.00	0.75	
229	2	0	0	0.00	0.00	0.75	
230	2	0	0	0.00	0.00	0.75	
231	2	0	0	0.00	0.00	0.75	
232	2	0	0	0.00	0.00	1.00	
233	2	0	0	0.00	0.00	1.00	
234	2	0	0	0.00	0.00	1.00	
235	2	0	0	0.00	0.00	1.00	
236	2	0	0	0.00	0.00	1.00	
237	2	0	0	0.00	0.00	1.00	
238	2	0	0	0.00	0.00	1.00	
239	2	0	0	0.00	0.00	1.00	
240	2	0	0	0.00	0.00	1.00	
241	2	0	0	0.00	0.00	1.00	
242	2	0	0	0.25	0.00	0.00	
243	0	0	0	0.25	0.00	0.00	
244	0	0	0	0.25	0.00	0.00	
245	0	0	0	0.25	0.00	0.00	
246	0	0	0	0.25	0.00	0.00	
247	0	0	0	0.25	0.00	0.00	
248	0	0	0	0.25	0.00	0.00	
249	0	0	0	0.25	0.00	0.00	
250	0	0	0	0.25	0.00	0.00	
251	0	0	0	0.25	0.00	0.00	
252	0	0	0	0.50	0.00	0.00	
253	0	0	0	0.50	0.00	0.00	
254	0	0	0	0.50	0.00	0.00	
255	0	0	0	0.50	0.00	0.00	
256	0	0	0	0.50	0.00	0.00	
257	0	0	0	0.50	0.00	0.00	
258	0	0	0	0.50	0.00	0.00	
259	0	0	0	0.50	0.00	0.00	
260	0	0	0	0.50	0.00	0.00	
261	0	0	0	0.50	0.00	0.00	
262	0	0	0	0.75	0.00	0.00	
263	0	0	0	0.75	0.00	0.00	
264	0	0	0	0.75	0.00	0.00	
265	0	0	0	0.75	0.00	0.00	
266	0	0	0	0.75	0.00	0.00	
267	0	0	0	0.75	0.00	0.00	
268	0	0	0	0.75	0.00	0.00	
269	0	0	0	0.75	0.00	0.00	
270	0	0	0	0.75	0.00	0.00	
271	0	0	0	0.75	0.00	0.00	
272	0	0	0	1.00	0.00	0.00	
273	0	0	0	1.00	0.00	0.00	
274	0	0	0	1.00	0.00	0.00	
275	0	0	0	1.00	0.00	0.00	
276	0	0	0	1.00	0.00	0.00	
277	0	0	0	1.00	0.00	0.00	
278	0	0	0	1.00	0.00	0.00	
279	0	0	0	1.00	0.00	0.00	
